,prov,N_pop,N_coloc,cases,deaths,contact_rate,short_range_movement,mid_range_movement,Country
2021-01-19,Ried im Innkreis,2292.9729329442875,410.0,115.0,4.0,12.368826194920848,0.8739588434033067,0.0231115485896308,Austria
2021-01-26,Ried im Innkreis,2256.9612518607064,415.0,95.0,3.0,13.33595853871951,0.8837925183380602,0.0214880158033886,Austria
2021-02-02,Ried im Innkreis,2238.8259995677,412.0,72.0,1.0,11.702987703616394,0.8957543715815323,0.0249833320428357,Austria
2021-02-09,Ried im Innkreis,2209.949245038725,402.0,53.0,1.0,11.151307942976608,0.883752628920473,0.0197020668521304,Austria
2021-02-16,Ried im Innkreis,2246.3974569144475,403.0,42.0,0.0,12.250182753731403,0.8742075800011658,0.0159215397669224,Austria
2021-02-23,Ried im Innkreis,2264.787865842175,372.0,84.0,1.0,11.691682794026724,0.8499308118935045,0.0233360032975343,Austria
2021-03-02,Ried im Innkreis,2316.9408094639693,389.0,115.0,0.0,12.047931046322402,0.8454168586362262,0.0203184246698468,Austria
2021-03-09,Ried im Innkreis,2315.508007822159,391.0,140.0,0.0,14.30496815062335,0.8513141051927787,0.0214499506370731,Austria
2021-03-16,Ried im Innkreis,2327.263378234701,375.0,157.0,2.0,12.083410805517511,0.8469757733386156,0.0193403292736893,Austria
2021-03-23,Ried im Innkreis,2321.678744822396,370.0,155.0,1.0,14.740666626617791,0.8490820970328026,0.0236100788867803,Austria
2021-03-30,Ried im Innkreis,2285.8510901964937,330.0,138.0,1.0,14.344040404878022,0.8485351614878026,0.0236938943739585,Austria
2021-04-06,Ried im Innkreis,2259.8467778536265,342.0,167.0,2.0,10.770332625763327,0.8902458047681165,0.0182704829673043,Austria
2021-04-13,Ried im Innkreis,2336.0606469829486,367.0,217.0,1.0,12.079467841612862,0.8539949884390114,0.0248103711780281,Austria
2021-04-20,Ried im Innkreis,2327.654698239132,367.0,156.0,3.0,11.554894929187558,0.8561814843307213,0.0241531693415559,Austria
2021-04-27,Ried im Innkreis,2319.9436015509,385.0,146.0,0.0,11.413143065349622,0.8461353950303899,0.0223239030654923,Austria
